date,symbol,backtest_signal,backtest_score,live_signal,live_quantity,live_side,signals_match,difference
2025-09-17,@AD#C,-1,-0.0011700242757797241,-1,18.0,SELL,True,0
2025-09-18,@AD#C,-1,-0.0013522038934752345,-1,18.0,SELL,True,0
2025-09-19,@AD#C,-1,-0.0021577938459813595,-1,18.0,SELL,True,0
2025-09-22,@AD#C,1,0.0027890820056200027,1,18.0,BUY,True,0
2025-09-23,@AD#C,-1,-0.001071997219696641,-1,18.0,SELL,True,0
2025-09-24,@AD#C,1,0.0014407613780349493,1,18.0,BUY,True,0
2025-09-25,@AD#C,-1,-0.0005391801823861897,-1,19.0,SELL,True,0
2025-09-26,@AD#C,1,0.0008603808237239718,1,19.0,BUY,True,0
2025-09-29,@AD#C,1,0.0018007047474384308,1,18.0,BUY,True,0
2025-09-30,@AD#C,1,0.0017928080633282661,1,18.0,BUY,True,0
2025-09-17,@BO#C,-1,-0.001873036497272551,-1,11.0,SELL,True,0
2025-09-18,@BO#C,-1,-0.0007535518961958587,-1,11.0,SELL,True,0
2025-09-19,@BO#C,1,-4.558174259727821e-05,1,11.0,BUY,True,0
2025-09-22,@BO#C,-1,-0.03682943433523178,-1,11.0,SELL,True,0
2025-09-23,@BO#C,1,-4.9528036470292136e-05,1,11.0,BUY,True,0
2025-09-24,@BO#C,-1,0.006150182336568832,-1,11.0,SELL,True,0
2025-09-25,@BO#C,1,-0.005787197966128588,1,11.0,BUY,True,0
2025-09-26,@BO#C,1,-0.0005307084647938609,1,11.0,BUY,True,0
2025-09-29,@BO#C,-1,-0.059002213180065155,-1,11.0,SELL,True,0
2025-09-30,@BO#C,-1,-0.07497590035200119,-1,12.0,SELL,True,0
2025-09-17,@BP#C,-1,-0.0012698235223069787,-1,14.0,SELL,True,0
2025-09-18,@BP#C,1,0.0003137149615213275,1,14.0,BUY,True,0
2025-09-19,@BP#C,1,0.00033759960206225514,1,14.0,BUY,True,0
2025-09-22,@BP#C,-1,-0.000586007721722126,-1,14.0,SELL,True,0
2025-09-23,@BP#C,-1,-0.0016106143593788147,-1,14.0,SELL,True,0
2025-09-24,@BP#C,1,0.0011949113104492426,1,14.0,BUY,True,0
2025-09-25,@BP#C,-1,1.0716496490204008e-06,-1,14.0,SELL,True,0
2025-09-26,@BP#C,1,-9.436676918994635e-05,1,14.0,BUY,True,0
2025-09-29,@BP#C,1,-0.00013846257934346795,1,14.0,BUY,True,0
2025-09-30,@BP#C,1,0.0008385241962969303,1,14.0,BUY,True,0
2025-09-17,@C#C,1,0.003316843183711171,1,16.0,BUY,True,0
2025-09-18,@C#C,-1,-0.003159931628033519,-1,16.0,SELL,True,0
2025-09-19,@C#C,1,0.005512414034456015,1,16.0,BUY,True,0
2025-09-22,@C#C,-1,-0.006216692738234997,-1,17.0,SELL,True,0
2025-09-23,@C#C,-1,-0.006541321519762278,-1,16.0,SELL,True,0
2025-09-24,@C#C,1,0.011532947421073914,1,16.0,BUY,True,0
2025-09-25,@C#C,1,0.0024789716117084026,1,16.0,BUY,True,0
2025-09-26,@C#C,-1,-0.006194088142365217,-1,16.0,SELL,True,0
2025-09-29,@C#C,1,0.0007763114990666509,1,16.0,BUY,True,0
2025-09-30,@C#C,-1,-0.011202747002243996,-1,17.0,SELL,True,0
2025-09-17,@CT#C,1,0.0034308682661503553,1,10.0,BUY,True,0
2025-09-18,@CT#C,-1,-0.00949727464467287,-1,10.0,SELL,True,0
2025-09-19,@CT#C,-1,-0.0042749191634356976,-1,10.0,SELL,True,0
2025-09-22,@CT#C,1,0.007316419389098883,1,10.0,BUY,True,0
2025-09-23,@CT#C,1,0.008762179873883724,1,10.0,BUY,True,0
2025-09-24,@CT#C,-1,-0.0038849138654768467,-1,10.0,SELL,True,0
2025-09-25,@CT#C,1,0.0045063369907438755,1,10.0,BUY,True,0
2025-09-26,@CT#C,-1,-0.0032268506474792957,-1,10.0,SELL,True,0
2025-09-29,@CT#C,-1,-0.009121729992330074,-1,10.0,SELL,True,0
2025-09-30,@CT#C,-1,-0.0032632150687277317,-1,10.0,SELL,True,0
2025-09-17,@ES#C,1,0.00035508806467987597,1,10.0,BUY,True,0
2025-09-18,@ES#C,1,0.0012286703567951918,1,9.0,BUY,True,0
2025-09-19,@ES#C,-1,-0.0003280679229646921,-1,9.0,SELL,True,0
2025-09-22,@ES#C,-1,-9.127294470090419e-05,-1,9.0,SELL,True,0
2025-09-23,@ES#C,1,0.001119087217375636,1,9.0,BUY,True,0
2025-09-24,@ES#C,1,-0.000816374144051224,1,9.0,BUY,True,0
2025-09-25,@ES#C,1,0.0008100991835817695,1,10.0,BUY,True,0
2025-09-26,@ES#C,1,0.001809394801966846,1,9.0,BUY,True,0
2025-09-29,@ES#C,1,0.0024709226563572884,1,9.0,BUY,True,0
2025-09-30,@ES#C,1,0.001475147670134902,1,9.0,BUY,True,0
2025-09-17,@EU#C,-1,-0.0006283457623794675,-1,8.0,SELL,True,0
2025-09-18,@EU#C,-1,-0.0012027055490761995,-1,8.0,SELL,True,0
2025-09-19,@EU#C,-1,-7.160495442803949e-05,-1,8.0,SELL,True,0
2025-09-22,@EU#C,-1,-0.0004779320734087378,-1,8.0,SELL,True,0
2025-09-23,@EU#C,-1,-0.00022351474035531282,-1,8.0,SELL,True,0
2025-09-24,@EU#C,-1,-0.0019923048093914986,-1,8.0,SELL,True,0
2025-09-25,@EU#C,-1,-0.0003676657797768712,-1,8.0,SELL,True,0
2025-09-26,@EU#C,1,0.0008468570886179805,1,8.0,BUY,True,0
2025-09-29,@EU#C,1,0.001712840748950839,1,8.0,BUY,True,0
2025-09-30,@EU#C,-1,-0.00012120245082769543,-1,8.0,SELL,True,0
2025-09-17,@FV#C,1,0.0005396836204454303,1,36.0,BUY,True,0
2025-09-18,@FV#C,1,7.518284110119566e-05,1,36.0,BUY,True,0
2025-09-19,@FV#C,-1,-0.0002948972105514258,-1,36.0,SELL,True,0
2025-09-22,@FV#C,-1,-0.0003515645512379706,-1,36.0,SELL,True,0
2025-09-23,@FV#C,-1,-0.0008847053977660835,-1,36.0,SELL,True,0
2025-09-24,@FV#C,1,0.00020545328152365983,1,36.0,BUY,True,0
2025-09-25,@FV#C,-1,-0.000986283179372549,-1,36.0,SELL,True,0
2025-09-26,@FV#C,-1,-0.00030400193645618856,-1,36.0,SELL,True,0
2025-09-29,@FV#C,1,1.3249128642200958e-05,1,36.0,BUY,True,0
2025-09-30,@FV#C,1,0.0001830761757446453,1,36.0,BUY,True,0
2025-09-17,@JY#C,-1,-0.0006436436669901013,-1,14.0,SELL,True,0
2025-09-18,@JY#C,1,0.0022049532271921635,1,14.0,BUY,True,0
2025-09-19,@JY#C,1,0.0008437950164079666,1,14.0,BUY,True,0
2025-09-22,@JY#C,1,6.115156429586932e-05,1,14.0,BUY,True,0
2025-09-23,@JY#C,-1,-0.0011840895749628544,-1,14.0,SELL,True,0
2025-09-24,@JY#C,-1,-0.0020613300148397684,-1,14.0,SELL,True,0
2025-09-25,@JY#C,-1,-0.0018819974502548575,-1,14.0,SELL,True,0
2025-09-26,@JY#C,-1,-0.0006900868029333651,-1,14.0,SELL,True,0
2025-09-29,@JY#C,1,-0.00011118885595351458,1,14.0,BUY,True,0
2025-09-30,@JY#C,1,0.0018923014868050814,1,14.0,BUY,True,0
2025-09-17,@NQ#C,-1,-0.0005770199932157993,-1,6.0,SELL,True,0
2025-09-18,@NQ#C,1,0.0005415069172158837,1,6.0,BUY,True,0
2025-09-19,@NQ#C,1,0.000412776687880978,1,6.0,BUY,True,0
2025-09-22,@NQ#C,-1,-0.00200228882022202,-1,6.0,SELL,True,0
2025-09-23,@NQ#C,1,0.004521401599049568,1,6.0,BUY,True,0
2025-09-24,@NQ#C,1,0.0016885835211724043,1,6.0,BUY,True,0
2025-09-25,@NQ#C,1,-2.899468017858453e-05,1,6.0,BUY,True,0
2025-09-26,@NQ#C,1,0.0011822875821962953,1,6.0,BUY,True,0
2025-09-29,@NQ#C,1,0.0021207055542618036,1,6.0,BUY,True,0
2025-09-30,@NQ#C,1,0.004755039699375629,1,6.0,BUY,True,0
2025-09-17,@RTY#C,-1,-0.0021112908143550158,-1,27.0,SELL,True,0
2025-09-18,@RTY#C,1,0.0014862623065710068,1,26.0,BUY,True,0
2025-09-19,@RTY#C,-1,-0.0013272741343826056,-1,26.0,SELL,True,0
2025-09-22,@RTY#C,-1,-0.00029561022529378533,-1,26.0,SELL,True,0
2025-09-23,@RTY#C,1,0.0014379187487065792,1,26.0,BUY,True,0
2025-09-24,@RTY#C,0,-0.00030148273799568415,0,0.0,NO_TRADE,True,0
2025-09-25,@RTY#C,1,0.001028731931000948,1,27.0,BUY,True,0
2025-09-26,@RTY#C,1,0.0013788531068712473,1,27.0,BUY,True,0
2025-09-29,@RTY#C,1,0.0008225382189266384,1,27.0,BUY,True,0
2025-09-30,@RTY#C,-1,-0.0015194264706224203,-1,27.0,SELL,True,0
2025-09-17,@S#C,1,-0.00010504871897865087,1,6.0,BUY,True,0
2025-09-18,@S#C,1,0.0019854293204844,1,6.0,BUY,True,0
2025-09-19,@S#C,1,0.0019414701964706182,1,6.0,BUY,True,0
2025-09-22,@S#C,-1,-0.0061606233939528465,-1,7.0,SELL,True,0
2025-09-23,@S#C,1,0.006611189804971218,1,7.0,BUY,True,0
2025-09-24,@S#C,1,0.0023574125953018665,1,7.0,BUY,True,0
2025-09-25,@S#C,1,0.001593144377693534,1,7.0,BUY,True,0
2025-09-26,@S#C,-1,-0.003933853004127741,-1,7.0,SELL,True,0
2025-09-29,@S#C,1,0.00206845928914845,1,7.0,BUY,True,0
2025-09-30,@S#C,-1,-0.008503546006977558,-1,7.0,SELL,True,0
2025-09-17,@SM#C,-1,-0.0076364874839782715,-1,12.0,SELL,True,0
2025-09-18,@SM#C,-1,-0.002102273516356945,-1,12.0,SELL,True,0
2025-09-19,@SM#C,-1,-0.0005259286845102906,-1,12.0,SELL,True,0
2025-09-22,@SM#C,-1,-0.0024152179248631,-1,12.0,SELL,True,0
2025-09-23,@SM#C,-1,-0.005397343542426825,-1,12.0,SELL,True,0
2025-09-24,@SM#C,1,0.008761633187532425,1,12.0,BUY,True,0
2025-09-25,@SM#C,1,0.017373301088809967,1,13.0,BUY,True,0
2025-09-26,@SM#C,-1,-0.009012149646878242,-1,13.0,SELL,True,0
2025-09-29,@SM#C,-1,-0.014120844192802906,-1,12.0,SELL,True,0
2025-09-30,@SM#C,1,0.005316250026226044,1,13.0,BUY,True,0
2025-09-17,@TY#C,1,0.0006184768280945718,1,35.0,BUY,True,0
2025-09-18,@TY#C,1,0.000980106182396412,1,35.0,BUY,True,0
2025-09-19,@TY#C,1,-0.00017323700012639165,1,35.0,BUY,True,0
2025-09-22,@TY#C,-1,-0.0012869596248492599,-1,35.0,SELL,True,0
2025-09-23,@TY#C,-1,-0.0006554500432685018,-1,35.0,SELL,True,0
2025-09-24,@TY#C,1,9.699942893348634e-05,1,35.0,BUY,True,0
2025-09-25,@TY#C,-1,-0.0011059652315452695,-1,35.0,SELL,True,0
2025-09-26,@TY#C,-1,-0.0014304412761703134,-1,35.0,SELL,True,0
2025-09-29,@TY#C,-1,-0.00038533538463525474,-1,35.0,SELL,True,0
2025-09-30,@TY#C,1,0.0008451193571090698,1,35.0,BUY,True,0
2025-09-17,@US#C,1,0.0006351270712912083,1,33.0,BUY,True,0
2025-09-18,@US#C,1,0.0012602659408003092,1,34.0,BUY,True,0
2025-09-19,@US#C,-1,-0.0013456421438604593,-1,34.0,SELL,True,0
2025-09-22,@US#C,-1,-0.0005461627733893692,-1,34.0,SELL,True,0
2025-09-23,@US#C,1,0.00048639875603839755,1,34.0,BUY,True,0
2025-09-24,@US#C,-1,-9.26489956327714e-05,-1,34.0,SELL,True,0
2025-09-25,@US#C,-1,-0.00111594598274678,-1,34.0,SELL,True,0
2025-09-26,@US#C,-1,-0.0005893200868740678,-1,34.0,SELL,True,0
2025-09-29,@US#C,-1,-0.0015027904883027077,-1,34.0,SELL,True,0
2025-09-30,@US#C,1,3.970211764681153e-05,1,34.0,BUY,True,0
2025-09-17,@W#C,1,0.004406767897307873,1,13.0,BUY,True,0
2025-09-18,@W#C,1,-0.0006529268575832248,1,13.0,BUY,True,0
2025-09-19,@W#C,1,0.0019999512005597353,1,13.0,BUY,True,0
2025-09-22,@W#C,-1,-0.00039244332583621144,-1,13.0,SELL,True,0
2025-09-23,@W#C,1,0.0030938214622437954,1,13.0,BUY,True,0
2025-09-24,@W#C,1,0.00456526642665267,1,13.0,BUY,True,0
2025-09-25,@W#C,1,0.0018766175489872694,1,13.0,BUY,True,0
2025-09-26,@W#C,1,0.0049665458500385284,1,13.0,BUY,True,0
2025-09-29,@W#C,1,-0.0006960391183383763,1,13.0,BUY,True,0
2025-09-30,@W#C,-1,-0.0008022548863664269,-1,14.0,SELL,True,0
2025-09-17,BD#C,1,0.0009104435448534787,1,30.0,BUY,True,0
2025-09-18,BD#C,1,0.00029140833066776395,1,26.0,BUY,True,0
2025-09-19,BD#C,-1,-0.0010860450565814972,-1,26.0,SELL,True,0
2025-09-22,BD#C,-1,-0.0011346968822181225,-1,26.0,SELL,True,0
2025-09-23,BD#C,1,0.00039413379272446036,1,26.0,BUY,True,0
2025-09-24,BD#C,-1,-0.00048190547386184335,-1,26.0,SELL,True,0
2025-09-25,BD#C,-1,-0.0005646974314004183,-1,26.0,SELL,True,0
2025-09-26,BD#C,-1,-0.001875225454568863,-1,26.0,SELL,True,0
2025-09-29,BD#C,-1,-0.001563554396852851,-1,26.0,SELL,True,0
2025-09-30,BD#C,-1,-0.000156702590174973,-1,26.0,SELL,True,0
2025-09-17,BL#C,1,0.0003481969761196524,1,33.0,BUY,True,0
2025-09-18,BL#C,1,0.0006251506274566054,0,0.0,NO_TRADE,False,1
2025-09-19,BL#C,-1,-0.0001045468743541278,-1,28.0,SELL,True,0
2025-09-22,BL#C,-1,-0.0005962679861113429,-1,28.0,SELL,True,0
2025-09-23,BL#C,-1,1.829056600399781e-05,-1,28.0,SELL,True,0
2025-09-24,BL#C,-1,-0.0004546930140350014,-1,28.0,SELL,True,0
2025-09-25,BL#C,-1,-0.00021674127492588013,-1,29.0,SELL,True,0
2025-09-26,BL#C,-1,-0.0004945315304212272,-1,29.0,SELL,True,0
2025-09-29,BL#C,-1,-0.0009912574896588922,-1,28.0,SELL,True,0
2025-09-30,BL#C,-1,-0.0007828923990018666,-1,28.0,SELL,True,0
2025-09-17,QCL#C,1,0.00597007293254137,1,18.0,BUY,True,0
2025-09-18,QCL#C,1,0.0038118467200547457,1,18.0,BUY,True,0
2025-09-19,QCL#C,1,0.003197167068719864,1,18.0,BUY,True,0
2025-09-22,QCL#C,1,0.00037447214708663523,1,18.0,BUY,True,0
2025-09-23,QCL#C,-1,-0.0017823384841904044,-1,18.0,SELL,True,0
2025-09-24,QCL#C,1,0.0014996884856373072,1,18.0,BUY,True,0
2025-09-25,QCL#C,-1,-0.005380135960876942,-1,18.0,SELL,True,0
2025-09-26,QCL#C,1,-0.002821914851665497,1,18.0,BUY,True,0
2025-09-29,QCL#C,-1,-0.005909396801143885,-1,18.0,SELL,True,0
2025-09-30,QCL#C,1,0.004418311174958944,1,18.0,BUY,True,0
2025-09-17,QGC#C,-1,-0.001127055031247437,-1,3.0,SELL,True,0
2025-09-18,QGC#C,1,0.0012964068446308374,1,3.0,BUY,True,0
2025-09-19,QGC#C,-1,-0.003952735103666782,-1,3.0,SELL,True,0
2025-09-22,QGC#C,1,0.00016907653480302542,1,3.0,BUY,True,0
2025-09-23,QGC#C,1,0.00010151694004889578,1,3.0,BUY,True,0
2025-09-24,QGC#C,-1,-0.0008945052395574749,-1,3.0,SELL,True,0
2025-09-25,QGC#C,1,0.00318571412935853,1,3.0,BUY,True,0
2025-09-26,QGC#C,-1,-0.00018351971812080592,-1,3.0,SELL,True,0
2025-09-29,QGC#C,1,0.0007464657537639141,1,3.0,BUY,True,0
2025-09-30,QGC#C,1,0.0002986291074194014,1,3.0,BUY,True,0
2025-09-17,QHG#C,1,-0.00018628730322234333,1,10.0,BUY,True,0
2025-09-18,QHG#C,-1,-0.002160230651497841,-1,10.0,SELL,True,0
2025-09-19,QHG#C,1,0.0025032577104866505,1,10.0,BUY,True,0
2025-09-22,QHG#C,1,0.006292777601629496,1,10.0,BUY,True,0
2025-09-23,QHG#C,1,0.002476602327078581,1,10.0,BUY,True,0
2025-09-24,QHG#C,1,0.0008400855585932732,1,10.0,BUY,True,0
2025-09-25,QHG#C,1,0.002458662260323763,1,10.0,BUY,True,0
2025-09-26,QHG#C,-1,-0.0019339509308338165,-1,10.0,SELL,True,0
2025-09-29,QHG#C,-1,0.003610753919929266,-1,10.0,SELL,True,0
2025-09-30,QHG#C,-1,-0.0017813820159062743,-1,10.0,SELL,True,0
2025-09-17,QNG#C,-1,-0.0026255627162754536,-1,10.0,SELL,True,0
2025-09-18,QNG#C,-1,-0.0036926292814314365,-1,10.0,SELL,True,0
2025-09-19,QNG#C,1,0.005299975164234638,1,10.0,BUY,True,0
2025-09-22,QNG#C,-1,-0.016898831352591515,1,10.0,BUY,False,-2
2025-09-23,QNG#C,1,0.006317391060292721,1,10.0,BUY,True,0
2025-09-24,QNG#C,1,0.005936305038630962,1,10.0,BUY,True,0
2025-09-25,QNG#C,-1,-0.0030569068621844053,-1,10.0,SELL,True,0
2025-09-26,QNG#C,1,0.0007199569372460246,1,10.0,BUY,True,0
2025-09-29,QNG#C,1,0.0010153243783861399,1,10.0,BUY,True,0
2025-09-30,QNG#C,-1,-0.006324003450572491,-1,10.0,SELL,True,0
2025-09-17,QPL#C,-1,0.00031314665102399886,1,18.0,BUY,False,-2
2025-09-18,QPL#C,1,0.0005139929126016796,1,17.0,BUY,True,0
2025-09-19,QPL#C,-1,-0.0011573904193937778,-1,17.0,SELL,True,0
2025-09-22,QPL#C,-1,-0.0011109139304608107,-1,17.0,SELL,True,0
2025-09-23,QPL#C,1,0.00011334058217471465,1,16.0,BUY,True,0
2025-09-24,QPL#C,1,5.577877163887024e-05,1,16.0,BUY,True,0
2025-09-25,QPL#C,-1,-0.0009200653876177967,-1,16.0,SELL,True,0
2025-09-26,QPL#C,-1,-0.002215092768892646,-1,15.0,SELL,True,0
2025-09-29,QPL#C,1,0.006840609945356846,1,15.0,BUY,True,0
2025-09-30,QPL#C,1,0.0015492414822801948,1,15.0,BUY,True,0
2025-09-17,QSI#C,-1,-0.0019838421139866114,-1,5.0,SELL,True,0
2025-09-18,QSI#C,1,0.0016979785868898034,1,5.0,BUY,True,0
2025-09-19,QSI#C,-1,-0.004049185197800398,-1,5.0,SELL,True,0
2025-09-22,QSI#C,-1,-0.00013127225975040346,1,5.0,BUY,False,-2
2025-09-23,QSI#C,1,-0.0010961937950924039,1,5.0,BUY,True,0
2025-09-24,QSI#C,1,0.0065549626015126705,1,5.0,BUY,True,0
2025-09-25,QSI#C,-1,0.00034345086896792054,-1,5.0,SELL,True,0
2025-09-26,QSI#C,-1,-0.006034561432898045,-1,5.0,SELL,True,0
2025-09-29,QSI#C,1,0.0028816601261496544,1,5.0,BUY,True,0
2025-09-30,QSI#C,1,0.0029595044907182455,1,5.0,BUY,True,0
