timestamp,symbol,prod_sharpe,prod_hit,prod_return,n_models,top_n,n_folds,max_features,xgb_type,signal_type,q_metric,cv_type,rolling_days,cutoff_fraction,ewma_alpha,sharpe_weight,hit_weight,train_sharpe_mean,train_hit_mean,full_timeline_sharpe_mean,full_timeline_hit_mean,status
20250909_223318,@ES#C,0.895,0.55,5.26%,50,5,8,100,standard,Tanh Normalized,hit_rate,Rolling,630.0,0.6,0.1,Unknown,Unknown,Unknown,Unknown,0.1765,0.5095000000000001,Completed
20250911_005744,@ES#C,0.895,0.55,5.26%,50,5,8,100,standard,Tanh Normalized,hit_rate,Rolling,630.0,0.6,0.1,Unknown,Unknown,0.2028333333333333,0.49433333333333335,0.1765,0.5095000000000001,Completed
20250911_015554,@ES#C,0.893,0.55,5.34%,45,4,8,100,standard,Tanh Normalized,hit_rate,Rolling,420.0,0.65,0.1,Unknown,Unknown,0.20933333333333334,0.4996666666666667,0.8045,0.5125,Completed
20250909_222700,@ES#C,0.789,0.618,5.34%,100,10,15,400,standard,Binary (+1/-1),sharpe,Expanding,,0.6,0.1,Unknown,Unknown,Unknown,Unknown,0.14280000000000004,0.42960000000000004,Completed
20250909_223311,@ES#C,0.731,0.55,4.80%,50,5,8,100,standard,Tanh Normalized,sharpe,Rolling,630.0,0.6,0.1,Unknown,Unknown,Unknown,Unknown,0.5615,0.53,Completed
20250910_220104,@ES#C,0.647,0.55,4.63%,50,3,8,100,tiered,Tanh Normalized,hit_rate,Rolling,378.0,0.6,0.1,Unknown,Unknown,0.09883333333333333,0.5021666666666667,0.2245,0.534,Completed
20250910_215022,@ES#C,0.647,0.55,4.63%,50,3,8,100,standard,Tanh Normalized,hit_rate,Rolling,378.0,0.6,0.1,Unknown,Unknown,0.09883333333333333,0.5021666666666667,0.2245,0.534,Completed
20250909_223259,@ES#C,0.621,0.55,3.79%,50,5,8,100,standard,Tanh Normalized,sharpe,Rolling,378.0,0.6,0.1,Unknown,Unknown,Unknown,Unknown,0.418,0.5195,Completed
20250909_222647,@ES#C,0.6,0.5489999999999999,3.89%,50,5,10,100,standard,Tanh Normalized,sharpe,Rolling,504.0,0.6,0.1,Unknown,Unknown,Unknown,Unknown,0.6573333333333333,0.5206666666666667,Completed
20250910_215028,@ES#C,0.546,0.55,3.42%,50,5,8,100,standard,Tanh Normalized,sharpe_hit,Rolling,378.0,0.6,0.1,0.5,0.5,0.09883333333333333,0.5021666666666667,0.27949999999999997,0.52,Completed
20250910_220059,@ES#C,0.54,0.55,3.61%,50,3,8,100,deep,Tanh Normalized,hit_rate,Rolling,378.0,0.6,0.1,Unknown,Unknown,0.11233333333333333,0.5021666666666667,0.004500000000000004,0.5245,Completed
20250909_223325,@ES#C,0.512,0.5489999999999999,5.48%,50,5,10,100,standard,Binary (+1/-1),sharpe,Rolling,504.0,0.6,0.1,Unknown,Unknown,Unknown,Unknown,0.5866666666666667,0.5083333333333334,Completed
20250911_005805,@ES#C,0.442,0.55,2.47%,75,7,8,100,standard,Tanh Normalized,hit_rate,Rolling,504.0,0.7,0.1,Unknown,Unknown,0.204,0.5023333333333334,0.1755,0.5055000000000001,Completed
20250911_013021,@ES#C,0.442,0.55,2.47%,75,7,8,100,standard,Tanh Normalized,hit_rate,Rolling,504.0,0.6,0.1,Unknown,Unknown,0.204,0.5023333333333334,0.1755,0.5055000000000001,Completed
20250910_214701,@ES#C,0.432,0.55,2.56%,50,5,8,100,standard,Tanh Normalized,hit_rate,Rolling,378.0,0.6,0.1,Unknown,Unknown,0.09883333333333333,0.5021666666666667,0.582,0.5325,Completed
20250909_223305,@ES#C,0.432,0.55,2.56%,50,5,8,100,standard,Tanh Normalized,hit_rate,Rolling,378.0,0.6,0.1,Unknown,Unknown,Unknown,Unknown,0.582,0.5325,Completed
20250910_215034,@ES#C,0.432,0.55,2.56%,50,5,8,100,standard,Tanh Normalized,hit_rate,Rolling,378.0,0.6,0.159,Unknown,Unknown,0.09883333333333333,0.5021666666666667,0.582,0.5325,Completed
20250909_222653,@ES#C,0.424,0.5489999999999999,2.82%,50,5,10,100,standard,Tanh Normalized,hit_rate,Rolling,504.0,0.6,0.1,Unknown,Unknown,Unknown,Unknown,0.664,0.512,Completed
20250910_221217,@EU#C,0.37,0.48700000000000004,1.52%,50,5,15,200,standard,Binary (+1/-1),hit_rate,Expanding,,0.6,0.1,Unknown,Unknown,0.3293846153846154,0.4958461538461538,1.1301999999999999,0.5048,Completed
20250911_015607,@EU#C,-0.011,0.48700000000000004,-0.02%,60,6,10,100,standard,Tanh Normalized,sharpe,Expanding,,0.7,0.1,Unknown,Unknown,0.22088888888888888,0.4976666666666667,0.23566666666666666,0.49366666666666664,Completed
20250910_220150,@EU#C,-0.122,0.484,-0.30%,50,3,8,100,standard,Tanh Normalized,hit_rate,Rolling,378.0,0.6,0.1,Unknown,Unknown,0.23533333333333337,0.5018333333333334,-0.024499999999999966,0.504,Completed
20250911_015539,@EU#C,-0.166,0.484,-0.41%,50,5,12,100,standard,Tanh Normalized,sharpe,Rolling,378.0,0.75,0.1,Unknown,Unknown,0.3579,0.5102,0.31166666666666665,0.51,Completed
20250911_005720,@EU#C,-0.194,0.484,-0.46%,50,5,8,100,standard,Tanh Normalized,hit_rate,Rolling,378.0,0.6,0.1,Unknown,Unknown,0.23533333333333337,0.5018333333333334,-0.0665,0.5125,Completed
20250911_005956,@EU#C,-0.228,0.484,-0.59%,50,5,8,100,standard,Tanh Normalized,sharpe,Rolling,378.0,0.7,0.1,Unknown,Unknown,0.23533333333333337,0.5018333333333334,-0.5,0.502,Completed
20250911_005810,@EU#C,-0.291,0.48700000000000004,-1.30%,50,5,10,100,standard,Binary (+1/-1),hit_rate,Expanding,,0.8,0.1,Unknown,Unknown,0.14566666666666667,0.4977777777777778,0.8305,0.4955,Completed
20250911_005947,@EU#C,-0.295,0.484,-0.69%,75,7,8,100,standard,Tanh Normalized,hit_rate,Rolling,630.0,0.6,0.1,Unknown,Unknown,0.11333333333333334,0.4968333333333333,-0.018500000000000016,0.486,Completed
20250910_221217,@EU#C,-0.392,0.485,-1.64%,50,5,10,200,standard,Binary (+1/-1),sharpe,Rolling,756.0,0.6,0.1,Unknown,Unknown,0.1437142857142857,0.496,0.36366666666666664,0.528,Completed
20250910_222133,@EU#C,-0.395,0.484,-1.75%,50,5,12,150,standard,Binary (+1/-1),hit_rate,Rolling,252.0,0.6,0.1,Unknown,Unknown,-0.02210000000000001,0.5015,-0.175,0.4965,Completed
20250910_221228,@EU#C,-0.481,0.484,-1.07%,75,7,8,300,tiered,Tanh Normalized,sharpe_hit,Rolling,504.0,0.7,0.1,0.5,0.5,0.4868333333333334,0.5058333333333334,0.006000000000000005,0.489,Completed
20250910_222155,@EU#C,-0.514,0.48100000000000004,-1.14%,50,5,10,150,tiered,Tanh Normalized,hit_rate,Rolling,378.0,0.6,0.1,Unknown,Unknown,0.03887499999999999,0.49675,0.157,0.49033333333333334,Completed
20250911_015601,@TY#C,0.227,0.495,0.41%,50,5,10,100,standard,Tanh Normalized,hit_rate,Rolling,756.0,0.7,0.1,Unknown,Unknown,-0.03942857142857144,0.489,-0.05350000000000002,0.497,Completed
20250911_005716,@TY#C,-0.064,0.495,-0.11%,50,5,8,100,standard,Tanh Normalized,hit_rate,Rolling,378.0,0.6,0.1,Unknown,Unknown,-0.10083333333333332,0.48433333333333334,0.707,0.514,Completed
20250910_220145,@TY#C,-0.076,0.495,-0.14%,50,3,8,100,standard,Tanh Normalized,hit_rate,Rolling,378.0,0.6,0.1,Unknown,Unknown,-0.10083333333333332,0.48433333333333334,0.69,0.5225,Completed
20250911_005732,@TY#C,-0.11,0.495,-0.37%,50,5,8,100,standard,Binary (+1/-1),hit_rate,Rolling,378.0,0.6,0.1,Unknown,Unknown,-0.12449999999999999,0.48833333333333334,0.633,0.521,Completed
20250911_005727,@TY#C,-0.353,0.47,-0.79%,50,5,8,100,standard,Tanh Normalized,hit_rate,Rolling,1260.0,0.6,0.1,Unknown,Unknown,0.10999999999999999,0.50125,-0.6135,0.495,Completed
20250911_005750,@TY#C,-0.357,0.495,-0.61%,75,7,10,100,standard,Tanh Normalized,hit_rate,Expanding,,0.8,0.1,Unknown,Unknown,0.11388888888888887,0.49088888888888893,0.1275,0.499,Completed
20250910_221216,@TY#C,-0.39,0.495,-1.35%,50,5,10,200,standard,Binary (+1/-1),hit_rate,Rolling,630.0,0.6,0.1,Unknown,Unknown,-0.0262857142857143,0.489,0.38999999999999996,0.5,Completed
20250910_222130,@TY#C,-0.415,0.495,-0.69%,75,7,8,200,deep,Tanh Normalized,sharpe_hit,Rolling,504.0,0.7,0.1,0.5,0.5,0.09116666666666666,0.49133333333333334,0.5415000000000001,0.5125,Completed
20250910_222119,@TY#C,-0.427,0.49200000000000005,-1.33%,50,5,12,150,standard,Binary (+1/-1),hit_rate,Rolling,252.0,0.6,0.1,Unknown,Unknown,0.014000000000000004,0.4931,1.34375,0.5245,Completed
20250910_222119,@TY#C,-0.446,0.499,-1.59%,50,5,10,150,tiered,Binary (+1/-1),hit_rate,Rolling,378.0,0.6,0.1,Unknown,Unknown,-0.25075,0.4785,0.3353333333333333,0.5179999999999999,Completed
20250910_221216,@TY#C,-0.467,0.495,-1.55%,50,5,15,200,standard,Binary (+1/-1),hit_rate,Expanding,,0.6,0.1,Unknown,Unknown,0.208,0.49238461538461537,0.30019999999999997,0.5069999999999999,Completed
20250911_015533,@TY#C,-0.57,0.49700000000000005,-1.10%,50,5,12,100,standard,Tanh Normalized,hit_rate,Rolling,630.0,0.8,0.1,Unknown,Unknown,-0.10066666666666667,0.48888888888888893,-0.138,0.486,Completed